@RELATION wiki_binned_better_wordcount_not_normalized
@ATTRIBUTE pageid Numeric
@ATTRIBUTE num_links_in Numeric
@ATTRIBUTE org_percentage Numeric
@ATTRIBUTE num_negative_words   Numeric
@ATTRIBUTE num_images   Numeric
@ATTRIBUTE edu_percentage   Numeric
@ATTRIBUTE other_percentage     Numeric
@ATTRIBUTE num_categories   Numeric
@ATTRIBUTE num_positive_words   Numeric
@ATTRIBUTE num_words    Numeric
@ATTRIBUTE net_percentage Numeric
@ATTRIBUTE num_controversial_words  Numeric
@ATTRIBUTE gov_percentage   Numeric
@ATTRIBUTE com_percentage   Numeric
@ATTRIBUTE num_links_out    Numeric
@ATTRIBUTE num_references   Numeric
@ATTRIBUTE isControversial  {yes,no}
@DATA
5407,82410, 0.2098360655737705,29,77, 0.05901639344262295, 0.02622950819672131,32,288,77871, 0,5, 0.3475409836065574,0.35737704918032787,2586,305,yes
9231869,31, 0,1,0, 0, 0,6,10,1904, 0,0, 0,1,9,6,yes
105496,542, 0.14516129032258066,7,18, 0.03225806451612903, 0.25806451612903225,20,76,16699, 0,2, 0.3709677419354839,0.1935483870967742,221,62,no
957537,34, 0.375,0,0, 0.0625, 0,17,21,4936, 0,0, 0.0625,0.5,179,16,yes
5574594,254, 0.10967741935483871,44,9, 0, 0.2129032258064516,55,156,34746, 0.01935483870967742,1, 0.0064516129032258064,0.6516129032258065,301,155,yes
24234930,4, 0,0,3, 0, 0,11,2,253, 0,0, 0,1,4,1,no
8839080,18, 0.46153846153846156,0,3, 0.07692307692307693, 0.3076923076923077,15,16,2130, 0,0, 0.07692307692307693,0.07692307692307693,29,13,no
7026804,49, 0.5,8,0, 0, 0,2,21,7472, 0,0, 0.25,0.25,63,4,no
4371925,572, 0.17647058823529413,0,29, 0, 0.5882352941176471,6,17,1956, 0,0, 0,0.23529411764705882,282,17,no
1316116,193, 0.41379310344827586,26,5, 0, 0.06896551724137931,5,61,16854, 0,0, 0.06896551724137931,0.4482758620689655,199,29,yes
8629,1169, 0.12206572769953052,47,39, 0.06103286384976526, 0.22535211267605634,60,156,45971, 0,2, 0.107981220657277,0.4835680751173709,619,213,yes
14335296,600, 0.2717391304347826,48,9, 0.03260869565217391, 0.22826086956521738,10,86,19033, 0.03260869565217391,0, 0.18478260869565216,0.25,526,92,yes
339394,21, 0.6666666666666666,34,5, 0.3333333333333333, 0,3,117,21696, 0,0, 0,0,54,3,no
4874,2884, 0.052884615384615384,50,18, 0.009615384615384616, 0.24519230769230768,20,204,55167, 0.04326923076923077,0, 0,0.6490384615384616,568,208,yes
13567676,26, 0.08771929824561403,35,31, 0, 0.2631578947368421,9,185,59917, 0.07017543859649122,1, 0,0.5789473684210527,329,57,no
74097,488, 0.3780487804878049,47,23, 0.0975609756097561, 0.32926829268292684,47,290,58655, 0,0, 0.024390243902439025,0.17073170731707318,318,82,no
33409644,55, 0.6296296296296297,8,10, 0.018518518518518517, 0.05555555555555555,11,100,20420, 0.018518518518518517,0, 0,0.2777777777777778,95,54,no
863,32841, 0.21481481481481482,126,56, 0.11851851851851852, 0.05185185185185185,30,348,93364, 0.037037037037037035,2, 0.06666666666666667,0.5111111111111111,1148,135,yes
146978,388, 0.20634920634920634,36,15, 0.015873015873015872, 0.015873015873015872,17,105,34346, 0,0, 0.015873015873015872,0.746031746031746,338,63,yes
166702,630, 0.09340659340659341,31,18, 0.005494505494505495, 0.005494505494505495,51,179,34039, 0.027472527472527472,2, 0.02197802197802198,0.8461538461538461,432,182,yes
166459,1925, 0.3235294117647059,10,14, 0, 0.29411764705882354,21,109,16646, 0,0, 0.17647058823529413,0.20588235294117646,304,34,no
24849,3800, 0.24861878453038674,30,131, 0.04419889502762431, 0.10497237569060773,42,194,56168, 0.0055248618784530384,0, 0.022099447513812154,0.574585635359116,514,181,yes
22434448,828, 0.011111111111111112,51,8, 0, 0.5888888888888889,21,223,39570, 0,1, 0,0.4,510,90,no
2395833,157, 0.09375,2,4, 0, 0.40625,25,44,9263, 0.03125,0, 0.03125,0.4375,161,32,no
47762,294, 0.24761904761904763,17,28, 0.10476190476190476, 0.06666666666666667,24,172,34470, 0.009523809523809525,0, 0.0761904761904762,0.49523809523809526,296,105,no
1631652,422, 0.367816091954023,34,8, 0.20689655172413793, 0.1724137931034483,20,154,42215, 0.06896551724137931,0, 0.022988505747126436,0.16091954022988506,365,87,yes
148979,815, 0.6037735849056604,55,11, 0.05660377358490566, 0.05660377358490566,27,165,53010, 0.03773584905660377,1, 0,0.24528301886792453,540,53,no
165404,1235, 0.3076923076923077,10,7, 0.11538461538461539, 0,15,70,17445, 0,0, 0,0.5769230769230769,309,26,yes
3829005,1192, 0.03773584905660377,37,12, 0, 0.07547169811320754,34,209,39498, 0.01509433962264151,4, 0.0037735849056603774,0.8679245283018868,340,265,yes
54253,1576, 0.16521739130434782,30,48, 0.11304347826086956, 0.23478260869565218,58,183,54624, 0.017391304347826087,0, 0.008695652173913044,0.4608695652173913,812,115,no
202133,178, 0,51,7, 0, 0.40816326530612246,19,191,45873, 0.02040816326530612,0, 0,0.5714285714285714,324,49,no
7543675,84, 0.15384615384615385,1,4, 0, 0.8461538461538461,9,12,2402, 0,0, 0,0,42,13,no
40112,1676, 0.13496932515337423,44,24, 0.0736196319018405, 0.27607361963190186,60,248,60562, 0,1, 0.006134969325153374,0.50920245398773,578,163,yes
21525,1607, 0.32,66,19, 0.056, 0.072,16,289,61076, 0,15, 0.448,0.104,1049,125,yes
1558354,207, 0.34782608695652173,6,64, 0, 0.5652173913043478,8,73,14115, 0,1, 0,0.08695652173913043,543,23,yes
418646,177, 0.09473684210526316,68,5, 0.031578947368421054, 0.021052631578947368,18,212,54497, 0,3, 0.3684210526315789,0.4842105263157895,284,190,no
1457749,117, 0.045454545454545456,16,7, 0, 0.5,7,101,18724, 0.11363636363636363,2, 0,0.3409090909090909,127,44,no
37514,388, 0.4346153846153846,65,26, 0.007692307692307693, 0.2230769230769231,18,186,51139, 0.007692307692307693,0, 0.23846153846153847,0.08846153846153847,538,260,yes
60290,217, 0.35,5,10, 0, 0.05,8,22,3829, 0,0, 0,0.6,100,20,yes
30667,1390, 0.20833333333333334,34,25, 0.013888888888888888, 0.027777777777777776,10,108,24054, 0.013888888888888888,0, 0,0.7361111111111112,316,72,yes
2676764,250, 0.5606060606060606,35,16, 0.045454545454545456, 0.030303030303030304,12,110,48217, 0.12121212121212122,2, 0.030303030303030304,0.21212121212121213,399,66,no
44240,1733, 0.20754716981132076,91,42, 0.07547169811320754, 0.37735849056603776,60,300,70807, 0.03773584905660377,0, 0.018867924528301886,0.2830188679245283,585,53,no
16829738,656, 0.38095238095238093,38,12, 0.047619047619047616, 0,3,203,48621, 0,4, 0.23809523809523808,0.3333333333333333,564,21,no
35751103,12, 0.01282051282051282,26,0, 0, 0.9487179487179487,9,68,19948, 0.01282051282051282,0, 0,0.02564102564102564,100,78,yes
5635,2579, 0.23134328358208955,59,39, 0.06716417910447761, 0.1417910447761194,56,250,61114, 0.05970149253731343,0, 0.014925373134328358,0.48507462686567165,738,134,yes
3505712,525, 0.2894736842105263,69,30, 0.02631578947368421, 0.13596491228070176,21,259,63234, 0.0043859649122807015,6, 0.08333333333333333,0.4605263157894737,455,228,no
17046226,9, 0.4,5,0, 0.3333333333333333, 0.2,11,40,18168, 0,1, 0,0.06666666666666667,33,15,no
36084003,17, 0.13432835820895522,30,4, 0.029850746268656716, 0.14925373134328357,15,66,21616, 0.029850746268656716,1, 0,0.6567164179104478,83,67,no
