pageid,net_percentage,org_percentage,avg_revs_per_day,num_links_in,num_controversial_words,gov_percentage,num_negative_words,num_images,com_percentage,article_age_in_days,num_revisions,edu_percentage,num_links_out,other_percentage,num_categories,num_positive_words,num_words,num_references,class
1103138, 0, 0.04285714285714286,0.788358700123406,921,1, 0.0035714285714285713,73,20,0.29642857142857143,4862,3833, 0,404, 0.6571428571428571,46,149,62671,280,yes
23996, 0.043478260869565216, 0.30434782608695654,0.4398866099716525,8125,1, 0.043478260869565216,17,6,0.2608695652173913,5997,2638, 0.043478260869565216,452, 0.30434782608695654,17,187,33999,23,yes
2095829, 0, 0.06463878326996197,0.5350497620077889,945,7, 0.08365019011406843,90,20,0.7718631178707225,4622,2473, 0.06463878326996197,516, 0.015209125475285171,40,177,75183,263,yes
22468, 0.01507537688442211, 0.11055276381909548,2.332828792465523,2038,2, 0.05527638190954774,58,28,0.6155778894472361,5946,13871, 0.020100502512562814,582, 0.18341708542713567,71,118,55677,398,yes
28225240, 0, 0.5,0.03918722786647315,26,0, 0,3,10,0.3,2756,108, 0.1,26, 0.1,6,14,3029,10,no
86364, 0.058823529411764705, 0.29411764705882354,0.09781643884253506,1831,0, 0,5,2,0.29411764705882354,5633,551, 0.058823529411764705,87, 0.29411764705882354,6,18,9856,17,yes
20400060, 0, 0,0.027299703264094956,110,0, 0,0,2,0.8,3370,92, 0,109, 0.2,29,2,830,10,no
23440, 0.09774436090225563, 0.15037593984962405,3.2045491736213387,51567,7, 0.0406015037593985,37,125,0.3744360902255639,6111,19583, 0.03609022556390978,2148, 0.3007518796992481,74,187,93047,665,yes
5847204, 0, 0.06358381502890173,1.184024505183789,1562,12, 0.014450867052023121,63,26,0.8901734104046243,4244,5025, 0.005780346820809248,746, 0.02601156069364162,39,98,58834,346,yes
41834204, 0, 0,0.0013568521031207597,1,0, 0,1,1,0,1474,2, 0,26, 1,7,2,750,1,no
43063258, 0, 0.4,0.014157973174366617,181,0, 0,0,248,0.2,1342,19, 0,186, 0.4,6,2,3212,5,no
31214009, 0, 0,0.014240506329113924,493,0, 0,1,18,0,2528,36, 0,575, 1,5,0,365,1,no
5987, 0, 0.20066889632107024,1.2255297679112007,6827,3, 0.2976588628762542,29,68,0.36454849498327757,5946,7287, 0.020066889632107024,540, 0.11705685618729098,23,116,47407,299,yes
989428, 0, 0.45454545454545453,0.09465524275805794,401,0, 0,5,21,0.45454545454545453,4902,464, 0.045454545454545456,358, 0.045454545454545456,20,26,11095,22,no
92656, 0.0165016501650165, 0.12211221122112212,3.011740331491713,3329,5, 0.013201320132013201,84,112,0.40594059405940597,5792,17444, 0.024752475247524754,961, 0.4174917491749175,45,195,94257,606,yes
261925, 0, 0.34782608695652173,0.6619850187265918,2524,1, 0.17391304347826086,7,18,0.08695652173913043,5340,3535, 0.043478260869565216,536, 0.34782608695652173,10,149,22243,46,yes
3481936, 0, 0.3333333333333333,0.004278315694663364,4,0, 0.1111111111111111,0,0,0,4441,19, 0,18, 0.5555555555555556,10,0,2552,9,no
1643647, 0, 0.3333333333333333,0.6288987905792489,33,0, 0,9,2,0.46153846153846156,4713,2964, 0.07692307692307693,143, 0.1282051282051282,7,20,14866,39,yes
12426373, 0, 0.75,0.010362694300518135,15,0, 0.25,0,6,0,3860,40, 0,50, 0,8,2,914,8,no
19035061, 0, 0.6666666666666666,0.002021952628538417,23,0, 0,0,5,0,3462,7, 0,30, 0.3333333333333333,5,0,327,3,no
13118744, 0.028645833333333332, 0.1640625,2.5896534404821696,1127,18, 0.018229166666666668,95,32,0.5572916666666666,5973,15468, 0.03125,911, 0.20052083333333334,29,206,92706,384,yes
493657, 0, 0.10714285714285714,0.1564092512740102,804,1, 0,10,4,0.75,5102,798, 0.07142857142857142,345, 0.07142857142857142,26,56,19531,28,yes
1518345, 0, 0,0.010322308826627343,55,0, 0,0,3,1,4747,49, 0,60, 0,7,1,541,1,no
16367528, 0, 0,0.026773392216395252,170,0, 0,6,7,0.35294117647058826,3623,97, 0.058823529411764705,184, 0.5882352941176471,5,10,6524,17,yes
25064496, 0, 0.5,0.0066269052352551355,9,0, 0,0,0,0,3018,20, 0.25,23, 0.25,7,4,2282,4,no
24133117, 0, 0.31451612903225806,0.4528423772609819,150,1, 0.4435483870967742,37,5,0.14516129032258066,3096,1402, 0,217, 0.0967741935483871,8,42,22518,124,yes
27307602, 0, 1,0.004579077139837971,4,0, 0,0,3,0,2839,13, 0,15, 0,5,0,159,2,no
23819805, 0, 0.08928571428571429,0.4409263614981002,462,0, 0.017857142857142856,17,7,0.7678571428571429,5527,2437, 0,328, 0.125,49,42,18525,56,yes
40154277, 0, 0.07692307692307693,0.01931200965600483,28,0, 0,1,2,0.38461538461538464,1657,32, 0,41, 0.5384615384615384,4,12,3485,13,no
19904525, 0, 0.327217125382263,0.5683746182558534,3109,0, 0.045871559633027525,72,15,0.37920489296636084,5894,3350, 0.0581039755351682,511, 0.18960244648318042,21,89,46398,327,yes
32159099, 0, 0.2,0.007809288943690916,2,0, 0,1,18,0.2,2433,19, 0,22, 0.6,8,10,4342,5,no
2314, 0, 0.11842105263157894,0.16001341831600135,209,0, 0.039473684210526314,11,3,0.5657894736842105,5962,954, 0.19736842105263158,215, 0.07894736842105263,37,27,17019,76,yes
18499165, 0, 1,0.0037142857142857142,2,0, 0,0,0,0,3500,13, 0,8, 0,8,0,582,1,no
56120, 0, 0.15833333333333333,1.067888307155323,3447,1, 0.35833333333333334,22,32,0.30833333333333335,5730,6119, 0.041666666666666664,462, 0.13333333333333333,19,47,30468,120,yes
3549550, 0, 0.125,0.05615696887686062,107,0, 0.75,7,19,0.125,4434,249, 0,105, 0,6,7,8273,8,no
1102997, 0, 0.2,0.01583710407239819,2,0, 0,1,0,0.2,4862,77, 0,11, 0.6,4,2,1517,5,no
69880, 0, 0.26153846153846155,1.7970893275342925,6659,1, 0.007692307692307693,96,84,0.5153846153846153,5978,10743, 0.03076923076923077,1469, 0.18461538461538463,66,257,109245,130,yes
48692593, 0, 0,0.018541409147095178,1,1, 0,3,0,0.8,809,15, 0.2,3, 0,5,27,4961,5,no
37410964, 0, 0.2,0.006687242798353909,6,0, 0,0,0,0.6,1944,13, 0.2,18, 0,9,0,1644,5,no
3455640, 0, 0.3333333333333333,0.012601260126012601,65,0, 0,1,2,0.3333333333333333,4444,56, 0.3333333333333333,39, 0,13,4,1455,3,no
9648367, 0, 0.6666666666666666,0.00872165462247695,10,0, 0,0,7,0,4013,35, 0,167, 0.3333333333333333,8,2,1031,3,no
13547, 0, 0.21052631578947367,0.36164154103852597,1390,0, 0.18045112781954886,187,10,0.23308270676691728,5970,2159, 0.022556390977443608,744, 0.3533834586466165,22,84,43550,133,yes
442163, 0, 0.10606060606060606,0.309190031152648,655,1, 0.030303030303030304,5,18,0.8181818181818182,5136,1588, 0.030303030303030304,335, 0.015151515151515152,23,58,24364,66,yes
16707, 0.06542056074766354, 0.04672897196261682,1.9022556390977443,1007,3, 0.009345794392523364,64,19,0.719626168224299,5985,11385, 0.028037383177570093,408, 0.1308411214953271,71,128,49566,107,yes
2100861, 0, 0.5454545454545454,0.1529640848117698,268,0, 0,27,4,0.45454545454545453,4622,707, 0,133, 0,12,22,10233,22,yes
37911046, 0, 0,0.006871035940803382,2,0, 0,0,2,0,1892,13, 0,15, 1,8,0,176,1,no
7487495, 0, 0.3333333333333333,0.005314009661835749,88,0, 0,0,3,0.3333333333333333,4140,22, 0,97, 0.3333333333333333,4,1,786,3,no
8718425, 0, 0.35361216730038025,2.242893187552565,784,0, 0.34600760456273766,81,16,0.19391634980988592,5945,13334, 0.011406844106463879,267, 0.09505703422053231,16,101,51062,263,yes
26152, 0.056856187290969896, 0.18729096989966554,1.4858538228359717,4087,0, 0.06688963210702341,40,72,0.27424749163879597,5938,8823, 0.04013377926421405,640, 0.3745819397993311,42,100,61502,299,yes
1544191, 0.045454545454545456, 0.18181818181818182,0.032278481012658226,85,0, 0.045454545454545456,12,6,0.6818181818181818,4740,153, 0,105, 0.045454545454545456,5,11,7234,22,yes
