@RELATION wiki_binned
@ATTRIBUTE num_categories   Numeric
@ATTRIBUTE num_words    Numeric
@ATTRIBUTE num_images   Numeric
@ATTRIBUTE num_links_in Numeric
@ATTRIBUTE num_links_out    Numeric
@ATTRIBUTE num_references   Numeric
@ATTRIBUTE num_revisions    Numeric
@ATTRIBUTE article_age_in_days  Numeric
@ATTRIBUTE avg_revs_per_day Numeric
@ATTRIBUTE num_positive_words   Numeric
@ATTRIBUTE num_negative_words   Numeric
@ATTRIBUTE num_controversial_words  Numeric
@ATTRIBUTE com_percentage   Numeric
@ATTRIBUTE org_percentage Numeric
@ATTRIBUTE gov_percentage   Numeric
@ATTRIBUTE net_percentage Numeric
@ATTRIBUTE edu_percentage   Numeric
@ATTRIBUTE other_percentage     Numeric
@ATTRIBUTE isControversial  {yes,no}

@DATA
64,96298,22,460,607,732,3684,4840,0.7611570247933884,0.001983426447070552,0.0011215186192859664,0.00029076408648154686,0.4644808743169399, 0.04371584699453552, 0.006830601092896175, 0.0546448087431694, 0, 0.430327868852459,no
22,95050,24,6447,1454,169,6832,6010,1.1367720465890183,0.0022093634928984744,0.000978432403997896,1.0520778537611784e-05,0.5502958579881657, 0.30177514792899407, 0.03550295857988166, 0, 0.07692307692307693, 0.03550295857988166,no
33,95833,16,1133,395,199,3952,5810,0.6802065404475043,0.003088706395500506,0.0010956559848903822,0.0,0.22110552763819097, 0.16080402010050251, 0.48743718592964824, 0.01507537688442211, 0.11055276381909548, 0.005025125628140704,no
55,100662,33,1443,971,164,8239,5836,1.411754626456477,0.0022352029564284438,0.0006556595338856768,0.0,0.4817073170731707, 0.2682926829268293, 0, 0.006097560975609756, 0.042682926829268296, 0.20121951219512196,no
11,101858,22,174,648,80,352,3753,0.09379163335997869,0.0020126057845235522,0.0009228533841229948,3.9270356771191266e-05,0.4, 0.425, 0.05, 0.0125, 0.0875, 0.025,no
11,101505,11,458,357,32,1014,5421,0.18705035971223022,0.0005221417664154475,0.0003645140633466332,0.0,0.34375, 0.40625, 0, 0.09375, 0.125, 0.03125,no
27,99932,73,1884,1100,57,2189,5117,0.4277897205393785,0.001591081935716287,0.0007004763239002522,0.0,0.15789473684210525, 0.5789473684210527, 0.10526315789473684, 0, 0.03508771929824561, 0.12280701754385964,no
4,99284,0,15,51,17,229,2282,0.10035056967572305,0.00039281253777043634,3.0216349059264332e-05,0.0,0, 0.9411764705882353, 0, 0, 0, 0.058823529411764705,no
2,96063,34,90,5840,2,12,1202,0.009983361064891847,0.0,0.0,0.0,0, 0, 0, 0, 0, 1,no
5,100062,0,12,1909,2,225,4164,0.05403458213256484,1.9987607683236393e-05,0.0,0.0,0, 0, 0, 0, 0, 1,no
24,96673,61,6715,1154,79,6031,5959,1.0120825641886222,0.0026377582158410313,0.00037238939517755733,1.0344149866043259e-05,0.2911392405063291, 0.34177215189873417, 0.0379746835443038, 0, 0.13924050632911392, 0.189873417721519,no
4,101762,3,2116,2517,19,104,4451,0.0233655358346439,6.878795621155245e-05,9.826850887364635e-06,0.0,0, 0.5263157894736842, 0, 0, 0, 0.47368421052631576,no
39,96458,60,15944,1061,61,3855,5317,0.725032913296972,0.002550332787327127,0.0005805635613427606,0.0,0.6065573770491803, 0.08196721311475409, 0.01639344262295082, 0, 0.01639344262295082, 0.2786885245901639,no
14,101883,13,64,122,4,517,5421,0.09536985795978602,0.000853920673713966,0.00023556432378316305,0.0,0, 0.25, 0, 0.25, 0.25, 0.25,no
1,101142,3,17,34,7,223,3341,0.06674648308889554,0.0002570643254038876,1.9774178877222124e-05,0.0,0.2857142857142857, 0.42857142857142855, 0.14285714285714285, 0, 0, 0.14285714285714285,no
52,98110,152,15680,1384,222,10637,5973,1.7808471454880295,0.002099684028131689,0.00048924676383651,6.115584547956375e-05,0.20270270270270271, 0.16216216216216217, 0.013513513513513514, 0.0045045045045045045, 0.036036036036036036, 0.581081081081081,no
8,99385,21,1050,237,18,2907,6010,0.48369384359400996,0.0013784776374704433,0.00046284650601197363,0.0,0.2222222222222222, 0.2777777777777778, 0, 0, 0.3888888888888889, 0.1111111111111111,no
17,95359,104,582,1540,160,3256,4696,0.6933560477001703,0.0019400371228725133,0.0005348210446837739,3.14600614519867e-05,0.45, 0.175, 0.09375, 0, 0.03125, 0.25,no
14,98786,22,667,398,211,9863,6238,1.5811157422250721,0.002237159111615006,0.0016095398133338732,6.073735144656126e-05,0.5545023696682464, 0.17061611374407584, 0.13270142180094788, 0.014218009478672985, 0.10900473933649289, 0.018957345971563982,no
8,97359,36,1,587,476,279,171,1.631578947368421,0.0008730574471800245,0.0018693700633736995,3.0813792253412625e-05,0.7457983193277311, 0.037815126050420166, 0.1953781512605042, 0.008403361344537815, 0.0063025210084033615, 0.0063025210084033615,no
3,99320,2,3,27,11,27,2713,0.009952082565425728,0.0002215062424486508,3.0205396697543294e-05,0.0,0.2727272727272727, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0, 0.36363636363636365,no
43,89262,32,1068,731,188,6335,5654,1.1204457021577645,0.0014675897918487151,0.001131500526539849,0.0,0.4095744680851064, 0.34574468085106386, 0.0425531914893617, 0, 0.0851063829787234, 0.11702127659574468,no
33,90587,90,14742,1397,311,7046,6023,1.1698489125020755,0.002307174318610838,0.0002538995661629152,2.2078223144601322e-05,0.27009646302250806, 0.09646302250803858, 0.012861736334405145, 0.006430868167202572, 0.012861736334405145, 0.6012861736334405,no
20,89780,30,3438,901,70,5434,5985,0.9079365079365079,0.0026286478057473825,0.000790822009356204,1.1138338159946536e-05,0.7142857142857143, 0.1, 0, 0.02857142857142857, 0, 0.15714285714285714,no
29,88458,137,1236,974,677,3974,6008,0.6614513981358189,0.002125302403400484,0.0009609080015374528,6.782880010852608e-05,0.3500738552437223, 0.45937961595273263, 0.10782865583456426, 0.0014771048744460858, 0.053175775480059084, 0.028064992614475627,no
67,94527,32,677,531,593,8366,2553,3.2769291030160597,0.0021581135548573425,0.0014175843938768818,2.115797602801316e-05,0.41989881956155145, 0.21585160202360876, 0.03709949409780776, 0.00505902192242833, 0.016863406408094434, 0.30522765598650925,no
54,88970,19,2577,773,23,2134,5943,0.359077906781087,0.0036079577385635607,0.001202652579521187,0.0,0.2608695652173913, 0.2608695652173913, 0.08695652173913043, 0, 0, 0.391304347826087,no
15,88041,29,894,1083,47,3177,5957,0.5333221420177942,0.002283027225951545,0.0008632341749866539,1.1358344407719131e-05,0.44680851063829785, 0.2127659574468085, 0.02127659574468085, 0, 0.02127659574468085, 0.2978723404255319,no
27,92396,4,12,954,25,883,3849,0.22941023642504546,0.0012879345426208926,0.0002272825663448634,0.0,0.4, 0.2, 0, 0, 0, 0.4,no
8,87962,279,5681,1453,37,3694,5954,0.6204232448773933,0.0033196152884199994,0.0005911643664309589,0.0,0.1891891891891892, 0.2702702702702703, 0.05405405405405406, 0.02702702702702703, 0.08108108108108109, 0.3783783783783784,no
44,91001,113,42434,1566,375,14839,5927,2.5036274675215116,0.0023955780705706533,0.0002857111460313623,5.494445115987736e-05,0.24266666666666667, 0.13066666666666665, 0.032, 0.06133333333333333, 0.024, 0.5093333333333333,no
42,92466,78,17217,857,328,13431,5980,2.2459866220735787,0.0016114031103324465,0.00040014708108926524,4.3259143901542185e-05,0.5670731707317073, 0.20426829268292682, 0.08841463414634146, 0.006097560975609756, 0.04878048780487805, 0.08536585365853659,no
28,94001,49,3989,899,203,3897,5624,0.692923186344239,0.0024999734045382496,0.000542547419708301,0.0,0.08374384236453201, 0.12807881773399016, 0, 0.009852216748768473, 0.0049261083743842365, 0.7733990147783252,no
98,88649,76,14028,1573,789,46522,5979,7.780899816022746,0.0021545646312987176,0.0007896310167063362,0.00011280443095804803,0.6362484157160964, 0.11406844106463879, 0.12547528517110265, 0.0025348542458808617, 0.029150823827629912, 0.09252217997465145,no
80,88577,52,6025,1945,443,10170,5986,1.6989642499164717,0.0027433758199081025,0.0007112455829391377,0.00029352992311773937,0.6072234762979684, 0.1873589164785553, 0.03611738148984198, 0.006772009029345372, 0.11286681715575621, 0.04966139954853273,no
10,88568,3,115,135,14,255,3005,0.08485856905158069,0.0002822689910577184,2.258151928461747e-05,0.0,0.5, 0.21428571428571427, 0, 0, 0.07142857142857142, 0.21428571428571427,no
6,89181,6,14,93,59,187,1425,0.1312280701754386,0.0012782991892891983,7.849205548267007e-05,0.0,0.1016949152542373, 0.6440677966101694, 0, 0, 0.05084745762711865, 0.2033898305084746,no
45,94257,112,3329,961,606,17444,5810,3.0024096385542167,0.002068811865431745,0.0008911804958782902,5.304645808799346e-05,0.40594059405940597, 0.12211221122112212, 0.013201320132013201, 0.0165016501650165, 0.024752475247524754, 0.4174917491749175,no
8,91165,29,223,334,27,8952,4145,2.1597104945717733,0.0024351450666374157,0.0010640048264136455,0.0,0.9629629629629629, 0, 0, 0, 0, 0.037037037037037035,no
26,92326,53,1702,818,105,4920,5870,0.838160136286201,0.002252886510842016,0.0005848839980070619,2.166237029655785e-05,0.4380952380952381, 0.0380952380952381, 0, 0.0380952380952381, 0.01904761904761905, 0.4666666666666667,no
7,89124,55,699,597,22,688,5180,0.13281853281853281,0.002143081549302096,0.0003702706341726134,0.0,0.22727272727272727, 0.3181818181818182, 0, 0.13636363636363635, 0, 0.3181818181818182,no
35,91069,19,786,245,87,4241,5357,0.7916744446518574,0.0021192722001998486,0.0011749332923387762,1.0980684975128748e-05,0.5862068965517241, 0.11494252873563218, 0.09195402298850575, 0.034482758620689655, 0.14942528735632185, 0.022988505747126436,no
