@RELATION wiki_binned_norev
@ATTRIBUTE num_links_in Numeric
@ATTRIBUTE org_percentage Numeric
@ATTRIBUTE num_negative_words   Numeric
@ATTRIBUTE num_images   Numeric
@ATTRIBUTE edu_percentage   Numeric
@ATTRIBUTE other_percentage     Numeric
@ATTRIBUTE num_categories   Numeric
@ATTRIBUTE num_positive_words   Numeric
@ATTRIBUTE num_words    Numeric
@ATTRIBUTE net_percentage Numeric
@ATTRIBUTE num_controversial_words  Numeric
@ATTRIBUTE gov_percentage   Numeric
@ATTRIBUTE com_percentage   Numeric
@ATTRIBUTE num_links_out    Numeric
@ATTRIBUTE num_references   Numeric
@ATTRIBUTE isControversial  {yes,no}
@DATA

921, 0.04285714285714286,0.0011648130714365496,20, 0, 0.6571428571428571,46,0.002377495173206108,62671, 0,1.5956343444336295e-05, 0.0035714285714285713,0.29642857142857143,404,280,yes
8125, 0.30434782608695654,0.0005000147063148916,6, 0.043478260869565216, 0.30434782608695654,17,0.005500161769463808,33999, 0.043478260869565216,2.941262978322892e-05, 0.043478260869565216,0.2608695652173913,452,23,yes
945, 0.06463878326996197,0.00119707912693029,20, 0.06463878326996197, 0.015209125475285171,40,0.002354255616296237,75183, 0,9.310615431680034e-05, 0.08365019011406843,0.7718631178707225,516,263,yes
2038, 0.11055276381909548,0.0010417227939723765,28, 0.020100502512562814, 0.18341708542713567,71,0.0021193670635989725,55677, 0.01507537688442211,3.592147565421987e-05, 0.05527638190954774,0.6155778894472361,582,398,no
70, 0.2,0.0010968119333138345,3, 0, 0.2,2,0.003144194208832992,13676, 0,0.0, 0,0.6,83,5,no
19, 0.030821917808219176,0.0011628323016923683,42, 0, 0.1506849315068493,13,0.0023435543311030806,55898, 0.03424657534246575,1.7889727718344126e-05, 0,0.7842465753424658,602,292,no
987, 0.2857142857142857,0.0006692544505420961,5, 0.047619047619047616, 0.047619047619047616,29,0.0014723597911926113,14942, 0,6.69254450542096e-05, 0.023809523809523808,0.5952380952380952,135,42,yes
1831, 0.29411764705882354,0.0005073051948051948,2, 0.058823529411764705, 0.29411764705882354,6,0.0018262987012987013,9856, 0.058823529411764705,0.0, 0,0.29411764705882354,87,17,yes
260, 0.38461538461538464,0.00041816946317495165,19, 0, 0.23076923076923078,21,0.0009408812921436412,19131, 0.07692307692307693,5.227118289686896e-05, 0,0.3076923076923077,271,13,no
62, 0.2,0.0,9, 0, 0,5,0.001834862385321101,545, 0,0.0, 0,0.8,73,5,no
51567, 0.15037593984962405,0.00039764850022031874,125, 0.03609022556390978, 0.3007518796992481,74,0.0020097370146270163,93047, 0.09774436090225563,7.523079733897922e-05, 0.0406015037593985,0.3744360902255639,2148,665,yes
80, 0.25,0.0007290400972053463,2, 0, 0.125,10,0.0014580801944106927,4115, 0,0.0, 0,0.625,48,8,no
1562, 0.06358381502890173,0.001070809395927525,26, 0.005780346820809248, 0.02601156069364162,39,0.0016657035047761498,58834, 0,0.0002039636944623857, 0.014450867052023121,0.8901734104046243,746,346,yes
80, 0.03571428571428571,0.0005140066820868671,8, 0, 0.9285714285714286,16,0.0012850167052171678,7782, 0,0.0, 0,0.03571428571428571,118,28,no
