pageid,num_categories,num_words,num_images,num_links_in,num_links_out,num_references,num_revisions
7627929,18,14471,7,294,200,38,2003
221749,48,16632,34,608,459,77,2571
22424,5,11554,9,102,148,28,656
25382,13,27233,5,1211,310,95,3188
70157,27,56407,29,2012,517,166,6146
3829005,34,39498,12,1192,340,265,3375
25806,26,66765,20,2371,680,146,5190
43243,26,46770,10,274,275,87,1878
11587,15,24251,5,1019,919,43,357
63317,25,52975,12,1196,775,134,3863
1544191,5,7234,6,85,105,22,153
23564616,42,52117,107,15073,1024,205,8597
526399,37,35329,35,567,645,67,1627
32070,30,67151,43,47746,1651,183,12343
347422,34,20317,43,3225,567,76,4769
5622894,9,20485,2,118,151,72,716
25867,81,39663,35,1418,703,236,10283
957537,17,4936,0,34,179,16,299
25473,69,87420,74,7330,1339,130,11082
231156,60,27388,8,898,384,83,3104
32296110,41,20593,5,105,106,44,1679
250943,27,8972,4,225,163,48,1284
8354382,25,25380,71,579,559,186,1248
2110323,43,61657,21,4466,607,554,15111
444216,11,4611,2,108,87,1,239
240547,24,18519,5,447,394,58,1030
21131695,64,93965,39,1587,933,295,4991
161466,37,27350,14,634,251,68,1878
168601,42,25048,11,313,116,100,5608
26152,42,61502,72,4088,640,299,8823
615807,60,24305,55,1038,1126,96,2525
25433,95,97790,72,10170,1964,471,18321
93791,57,23421,6,680,557,141,2130
44205,55,43161,8,765,417,187,5884
376985,12,30032,7,518,410,41,6443
25938,50,65827,30,1409,830,329,5921
25427,42,43575,7,990,734,186,8643
17446303,34,46357,26,346,637,255,913
242570,36,15221,2,169,114,49,635
23747676,51,24414,10,73,179,58,2511
4057953,53,24209,37,894,905,183,2119
45218,39,26600,6,783,657,123,6895
29490,65,68476,46,3089,587,149,12522
206365,24,22392,12,974,187,45,1928
27931,25,28735,5,896,314,121,7189
51487,49,54852,15,1082,534,127,3756
40112,60,60562,24,1676,578,163,7402
249623,16,56026,54,1103,965,251,11546
23409759,13,10015,12,429,202,43,609
27122,61,88929,68,1181,620,137,3677
165404,15,17445,7,1235,309,26,1192
26915,23,44648,6,240,274,85,1845
2941511,78,59518,28,1809,964,430,14801
338065,11,14062,4,455,262,24,811
27694,14,49731,41,2170,991,141,8266
27706,8,54045,17,971,550,33,7576
144178,39,37220,15,251,365,192,9037
763013,48,55171,21,5791,737,170,8820
349303,45,92491,133,18288,1242,404,11173
27790,21,45224,24,2811,442,472,7771
