pageid,num_links_in,num_images,num_links_out,num_categories,num_references,num_words
1246843,460,22,607,64,732,96298
1973,6456,24,1454,22,169,95050
48728,1133,16,395,33,199,95833
44534,1452,33,973,55,164,100662
14458973,174,22,648,11,80,101858
221708,458,11,357,11,32,101505
504379,1884,73,1100,27,57,99932
33994467,15,0,51,4,17,99284
44471459,90,34,5840,2,2,96063
7418510,12,0,1909,5,2,100062
18839,6715,61,1154,24,79,96673
3567893,2116,3,2517,4,19,101762
297809,15944,60,1061,39,61,96458
221400,64,13,122,14,4,101883
21067650,17,3,34,1,7,101142
18987,15680,152,1384,52,222,98110
7921,1050,21,237,8,18,99385
1814362,582,104,1540,17,160,95359
31655,667,22,398,14,211,98786
55271716,1,36,587,8,476,97359
29030725,3,2,27,3,11,99320
85234,1068,32,731,43,188,89262
18081,14742,90,1397,33,311,90587
8133,3438,30,901,20,70,89780
15051,1236,137,974,29,677,88458
31162817,677,32,531,67,593,94527
7271,2577,19,773,54,23,88970
13485,894,29,1083,15,47,88041
12925855,12,4,954,27,25,92396
26714,5681,279,1453,8,37,87962
29265,42434,113,1566,44,375,91001
8687,17250,78,860,42,328,92475
103443,3989,49,899,28,203,94001
3414021,14044,76,1575,98,789,88680
15992,6031,52,1957,80,448,89432
25441497,115,3,135,10,14,88568
42475403,14,6,93,6,59,89181
92656,3344,112,961,45,605,94109
7723686,223,29,334,8,27,91165
38483,1702,53,818,26,105,92326
417021,699,55,597,7,22,89124
263261,786,19,245,35,87,91069
15941,2263,36,1416,75,107,94079
277006,543,20,491,24,53,91853
21073732,3053,47,1204,44,107,91201
148594,152,6,126,3,34,92259
13904,1743,51,984,19,91,90083
21090338,87,53,717,7,5,90054
2711369,330,15,592,7,80,88964
46284800,597,80,956,24,161,88183
675561,1023,46,791,39,413,89569
6299613,1150,39,840,39,518,89728
2632114,3399,46,732,33,187,89050
59962,216,10,179,3,30,92067
43373,2810,24,1175,87,273,88577
62654,1046,25,574,19,114,83691
15872,2318,33,845,82,239,82833
51320,1576,34,1222,10,127,86387
32073,2205,65,548,35,329,80681
143377,234,26,249,53,110,84567
29023680,138,25,751,14,233,86866
