inst#,actual,predicted,error,prediction,pageid
1,2:no,2:no,,0.951,5339584
2,2:no,2:no,,0.639,356375
3,2:no,1:yes,+,0.564,50405
4,1:yes,1:yes,,0.613,1950
5,2:no,2:no,,0.971,7563097
6,1:yes,2:no,+,0.532,189909
7,2:no,2:no,,0.674,18736289
8,2:no,1:yes,+,0.665,12573166
9,1:yes,1:yes,,0.819,241649
10,2:no,2:no,,0.733,2122568
11,2:no,2:no,,0.719,161139
12,1:yes,2:no,+,0.561,28642
13,2:no,2:no,,0.935,25441497
14,2:no,2:no,,0.632,24999219
15,2:no,2:no,,0.606,1774390
16,1:yes,1:yes,,0.726,24095
17,2:no,2:no,,0.965,803894
18,2:no,2:no,,0.686,20379729
19,2:no,2:no,,0.851,25272709
20,1:yes,1:yes,,0.845,26667
21,2:no,2:no,,0.736,370368
22,2:no,2:no,,0.514,2293506
23,1:yes,1:yes,,0.704,37335
24,1:yes,2:no,+,0.667,43441237
25,1:yes,1:yes,,0.646,384676
26,1:yes,1:yes,,0.637,305561
27,1:yes,1:yes,,0.759,21350772
28,1:yes,1:yes,,0.975,5043192
29,1:yes,1:yes,,0.665,30862657
30,2:no,2:no,,0.848,842468
31,2:no,2:no,,0.662,14561
32,2:no,2:no,,0.897,72898
33,1:yes,1:yes,,0.791,1973
34,2:no,2:no,,0.738,1658647
35,2:no,1:yes,+,0.685,162688
36,2:no,2:no,,0.961,42502890
37,2:no,2:no,,0.675,6337740
38,2:no,2:no,,0.642,4349459
39,1:yes,2:no,+,0.54,4316423
40,2:no,2:no,,0.756,272833
41,1:yes,2:no,+,0.552,23475335
42,2:no,2:no,,0.979,32185161
43,2:no,2:no,,0.649,198726
44,1:yes,1:yes,,0.512,217196
45,2:no,2:no,,0.715,29617833
46,1:yes,1:yes,,0.704,1651190
47,2:no,1:yes,+,0.676,1660277
48,2:no,2:no,,0.696,1540309
49,2:no,2:no,,0.766,40155866
50,1:yes,2:no,+,0.821,65975
51,2:no,2:no,,0.81,238431
52,1:yes,1:yes,,0.71,91221
53,1:yes,1:yes,,0.667,26915
54,1:yes,2:no,+,0.615,1630179
55,2:no,1:yes,+,0.536,64460
56,2:no,2:no,,0.621,320965
57,1:yes,2:no,+,0.825,415961
58,2:no,2:no,,0.657,187337
59,2:no,2:no,,0.677,2023491
60,1:yes,1:yes,,0.554,23340
61,2:no,2:no,,0.97,527847
