pageid,class
1246843,no
1973,no
48728,no
44534,no
14458973,no
221708,no
504379,no
33994467,no
44471459,no
7418510,no
18839,no
3567893,no
297809,no
221400,no
21067650,no
18987,no
7921,no
1814362,no
31655,no
55271716,no
29030725,no
85234,no
18081,no
8133,no
15051,no
31162817,no
7271,no
13485,no
12925855,no
26714,no
29265,no
8687,no
103443,no
3414021,no
15992,no
25441497,no
42475403,no
92656,no
7723686,no
38483,no
417021,no
263261,no
15941,no
277006,no
21073732,no
148594,no
13904,no
21090338,no
2711369,no
46284800,no
675561,no
6299613,no
2632114,no
59962,no
43373,no
62654,no
15872,no
51320,no
32073,no
143377,no
29023680,no
2989409,no
48722130,no
66592,no
606848,no
5405,no
11962112,no
30876071,no
20519569,no
14941202,no
525160,no
66256,no
1660277,no
53107,no
35719627,no
25423,no
1178438,no
32927,no
1757165,no
62896,no
95214,no
25101,no
280738,no
4020775,no
42142305,no
26902061,no
44440022,no
31602166,no
33135,no
364285,no
25263739,no
102446,no
29266,no
6887017,no
48417107,no
21221606,no
159225,no
21441842,no
252534,no
85754,no
69328,no
1111684,no
35981249,no
872,no
523329,no
24894509,no
75899,no
18203,no
1726029,no
43206,no
8687911,no
4339,no
36765013,no
44240,no
18938265,no
13461936,no
52847,no
15476854,no
18853459,no
17349356,no
76762,no
404829,no
25000433,no
7875958,no
208827,no
77667,no
34678382,no
45337,no
1800772,no
18934,no
15942,no
19167679,no
30253888,no
1348067,no
527847,no
113453,no
43223,no
93428,no
314101,no
14561,no
3874731,no
12386,no
16321,no
45694879,no
43675,no
97509,no
621328,no
356777,no
878854,no
265778,no
22614,no
8484783,no
28086000,no
18895385,no
22163753,no
170808,no
14889,no
391488,no
17627721,no
33265,no
23805,no
32434421,no
782741,no
24999219,no
18285325,no
6453527,no
31429503,no
771,no
11843604,no
9288,no
19527,no
43689031,no
409566,no
803894,no
47099786,no
3089277,no
3266013,no
2525549,no
20855562,no
1234508,no
30654,no
6295613,no
56017314,no
13306,no
17820,no
31358910,no
15342038,no
43633857,no
3177125,no
780188,no
3072809,no
4922019,no
46662125,no
8799338,no
5119376,no
173547,no
17862,no
160760,no
507399,no
92402,no
39912374,no
210710,no
33186,no
33589,no
2457206,no
89988,no
66964,no
870044,no
111582,no
4283766,no
150209,no
27630477,no
76972,no
97404,no
31737,no
594,no
25272709,no
15123,no
52233943,no
41831802,no
19872006,no
18154,no
7116046,no
339841,no
8868062,no
619761,no
32905,no
412059,no
4349459,no
36808,no
36218417,no
49728,no
20405,no
16408009,no
65064,no
2615708,no
43337801,no
2194173,no
16578,no
33277,no
42004317,no
24102656,no
573822,no
15766,no
7739570,no
26589,no
16949861,no
43449,no
55791,no
60192,no
15378788,no
49121,no
11003095,no
1327701,no
26061,no
15524,no
48768,no
10935907,no
158986,no
20155503,no
102383,no
324222,no
7954643,no
36377373,no
72866,no
25784,no
6861578,no
4429395,no
172111,no
1071653,no
158267,no
177765,no
13567676,no
23090816,no
5829721,no
1557634,no
391324,no
481130,no
52024,no
3524766,no
147726,no
795071,no
2116,no
32005,no
19318,no
6325873,no
17454,no
20320,no
57851,no
72243,no
769016,no
1669998,no
74097,no
703940,no
1630627,no
393593,no
34340,no
161139,no
36511,no
52760867,no
28613119,no
26905,no
162688,no
57845,no
2269697,no
27071,no
713949,no
45399040,no
19606306,no
3208634,no
37765,no
42780592,no
7517565,no
3505712,no
55796083,no
38894501,no
37423368,no
3272427,no
27687,no
32668390,no
5583441,no
45474,no
21883857,no
56978,no
41668588,no
100582,no
48972510,no
20905,no
2198844,no
25160837,no
538391,no
4683002,no
18538,no
20622,no
21825423,no
4131402,no
366061,no
27417613,no
305917,no
157232,no
69802,no
264105,no
81456,no
9955,no
377606,no
5785,no
21184,no
32227599,no
23219544,no
140469,no
51510,no
9933726,no
32642,no
219640,no
216849,no
94158,no
424928,no
23275402,no
869945,no
8817404,no
24536543,no
30555,no
24511019,no
234842,no
3437663,no
350072,no
80028,no
1505381,no
2046288,no
55032,no
4121869,no
125176,no
219056,no
5962511,no
11793227,no
232847,no
58586,no
14187933,no
7893,no
21836,no
329949,no
195552,no
364934,no
17939402,no
10091322,no
32220228,no
170029,no
786545,no
1774390,no
1485652,no
409855,no
147748,no
47762,no
9164577,no
1540309,no
194896,no
70718,no
32623,no
37009650,no
80027,no
286458,no
2845579,no
8613,no
964717,no
16692,no
332248,no
576969,no
23362908,no
1803489,no
30307259,no
21049733,no
32096,no
1202355,no
157302,no
193684,no
6082436,no
125436,no
620602,no
10286612,no
186797,no
277310,no
22210561,no
7950181,no
844184,no
35843293,no
325831,no
65133,no
176316,no
56101,no
163382,no
37476190,no
31717023,no
97774,no
127894,no
238677,no
89442,no
566647,no
579570,no
1225426,no
23488052,no
32122390,no
4704229,no
1300409,no
3170723,no
18736289,no
2275412,no
6589,no
160434,no
40566,no
171325,no
324,no
447089,no
1620297,no
269046,no
7166373,no
38072719,no
14937814,no
1804336,no
43331629,no
50310081,no
19642082,no
41592580,no
22796,no
11962266,no
142154,no
29542497,no
136960,no
166163,no
3397169,no
19194236,no
204283,no
3888092,no
33031496,no
2412780,no
27586261,no
25012037,no
2892481,no
5789543,no
36246766,no
13514560,no
26848243,no
30414731,no
2083285,no
9286738,no
1602349,no
1816178,no
100385,no
1911160,no
39066698,no
33831345,no
191273,no
1131625,no
46241959,no
2871603,no
578712,no
154245,no
4871845,no
187337,no
35337618,no
29617833,no
30597047,no
241267,no
40417489,no
40508,no
2395833,no
501798,no
1340309,no
2089,no
134583,no
290189,no
44785986,no
44994160,no
7776179,no
30806858,no
1193095,no
48994238,no
32560864,no
25977139,no
2527229,no
161091,no
591604,no
10072598,no
4532448,no
33775893,no
2293506,no
15037096,no
49438681,no
572939,no
1251648,no
33548913,no
13497621,no
3018837,no
2692172,no
1108893,no
59806,no
3655443,no
35643332,no
6181660,no
25645497,no
105697,no
232863,no
37280522,no
23468778,no
22944399,no
12573166,no
22117825,no
827225,no
44509739,no
20379729,no
50547541,no
654162,no
745853,no
40538740,no
3362317,no
2088125,no
20647396,no
2505145,no
24526226,no
183610,no
122822,no
37910618,no
628811,no
933137,no
9882330,no
2048467,no
44527235,no
4342107,no
6262423,no
5289760,no
149369,no
5063128,no
5995136,no
805891,no
25389526,no
34780788,no
1915347,no
959907,no
376818,no
42678054,no
1339238,no
4018311,no
7026804,no
26874,no
22663901,no
890687,no
17343590,no
3234715,no
47524633,no
35824191,no
3816801,no
21406281,no
17206737,no
47939619,no
15975,no
6765187,no
370368,no
1739180,no
1303295,no
11465552,no
34303868,no
113933,no
35701370,no
628782,no
35998553,no
27005455,no
184170,no
5052533,no
14477322,no
13684,no
29711529,no
23470968,no
16924903,no
300279,no
20384579,no
26857471,no
33476103,no
24189541,no
83620,no
1008284,no
99959,no
37364982,no
655221,no
29684300,no
78023,no
145325,no
16354915,no
156858,no
5405088,no
265083,no
2746666,no
143914,no
3844691,no
158079,no
1133844,no
63816,no
761462,no
3344863,no
64610,no
384676,no
24589,no
97831,no
27497535,no
884607,no
151051,no
14078934,no
30717904,no
22514299,no
759317,no
505833,no
400103,no
525737,no
40480187,no
207655,no
320965,no
36078060,no
15361,no
108243,no
3099417,no
46823,no
1495667,no
62682,no
6173299,no
893219,no
1175257,no
344859,no
256925,no
2067,no
2065634,no
917941,no
712828,no
607552,no
314292,no
1308385,no
1795025,no
49040304,no
9105,no
261654,no
238811,no
30505250,no
22999784,no
9549,no
61145,no
8455187,no
46217753,no
27235473,no
1700717,no
565730,no
8498162,no
1775833,no
36623,no
660931,no
42646393,no
1577801,no
204706,no
9543863,no
489133,no
40457153,no
387623,no
15300612,no
15271,no
5240186,no
27490,no
22434448,no
1117450,no
5437,no
18253454,no
4996,no
18113207,no
2368408,no
19363129,no
6001027,no
50888873,no
8358106,no
46272899,no
9647504,no
186716,no
20184567,no
14526706,no
22351923,no
20228169,no
36121147,no
1064917,no
14255377,no
56543038,no
55135530,no
8571298,no
36700599,no
42720323,no
13698503,no
49655256,no
884044,no
1924418,no
32988926,no
3953738,no
41578796,no
4371925,no
4852233,no
18406401,no
1360222,no
3392292,no
25717487,no
774588,no
6459614,no
467803,no
44595957,no
44319369,no
4614422,no
53281811,no
16759271,no
46470319,no
18522414,no
44282786,no
15219666,no
15887917,no
49133251,no
51358865,no
34518150,no
2865660,no
6027422,no
24234930,no
24001332,no
9380457,no
40304660,no
41174687,no
10769845,no
6337740,no
7545924,no
48806304,no
40849708,no
30577785,no
2550711,no
46496429,no
42579750,no
7543675,no
23380995,no
8839080,no
13492165,no
52045918,no
5744906,no
19555532,no
6734490,no
26951433,no
14368996,no
48958475,no
13437247,no
36806948,no
43649260,no
13017065,no
18505633,no
54739124,no
8493516,no
11717251,no
18816116,no
23589837,no
3334427,no
256268,no
230189,no
78358,no
2346975,no
24962835,no
1051262,no
60027,no
7586,no
14474647,no
2539671,no
5464960,no
6055195,no
125794,no
70671,no
6293,no
518843,no
331550,no
355738,no
208691,no
1439427,no
26781,no
31692117,no
28394320,no
41536,no
1029,no
24404702,no
262979,no
30857,no
42685705,no
23407882,no
6015943,no
33161913,no
23626,no
26202,no
8100768,no
262260,no
827717,no
32291112,no
32009,no
1053949,no
27662703,no
32070455,no
94040,no
731896,no
9623,no
1506903,no
506881,no
303434,no
517136,no
8253,no
265857,no
30871090,no
37010,no
12441,no
36118062,no
1130,no
2103628,no
4079673,no
38743,no
28920167,no
6357903,no
8783,no
49856,no
202133,no
1514405,no
99312,no
2676764,no
89260,no
295217,no
43459,no
153041,no
5265384,no
19188562,no
20587985,no
12499410,no
20556944,no
20007045,no
1111358,no
503750,no
25736,no
12552804,no
30864385,no
18932608,no
73592,no
14464969,no
372810,no
66440,no
16125,no
24602,no
15867436,no
23309899,no
5706993,no
112607,no
26062515,no
48311285,no
315833,no
2189133,no
180733,no
45230258,no
1989580,no
50405,no
691,no
43717,no
29219,no
16829738,no
68460,no
966130,no
4119832,no
14998012,no
23620137,no
68319,no
13789924,no
3348541,no
356375,no
454583,no
224692,no
2213684,no
14129491,no
11943453,no
1108214,no
13828397,no
2782833,no
93931,no
8887003,no
188073,no
275132,no
999748,no
27022415,no
168430,no
74095,no
2985470,no
379362,no
175028,no
26949079,no
3130850,no
134672,no
39563304,no
914869,no
164676,no
548667,no
2632897,no
31655498,no
723638,no
50432,no
10327401,no
401877,no
21761,no
2217991,no
87679,no
40528,no
3635710,no
7990664,no
217231,no
30250971,no
32077,no
18998781,no
48550979,no
82471,no
115635,no
28330,no
183906,no
31827,no
2492394,no
102685,no
6719,no
145971,no
2313472,no
23340,no
51592861,no
33098504,no
27372858,no
1300344,no
6146151,no
317562,no
275138,no
4364873,no
50771,no
1104730,no
124770,no
83220,no
10447140,no
419557,no
859943,no
10768291,no
10601100,no
1934406,no
831647,no
715706,no
9623056,no
17766232,no
8506316,no
27649750,no
367133,no
2099143,no
529667,no
498538,no
5981816,no
43158925,no
15789,no
51521,no
806449,no
1198487,no
1346058,no
124259,no
982871,no
21312284,no
40514,no
3238282,no
60845,no
6121100,no
38847341,no
220884,no
2966253,no
2937699,no
1658647,no
195759,no
35968446,no
663591,no
5870424,no
700610,no
43069,no
525669,no
192648,no
1181193,no
1572499,no
11815157,no
5810035,no
827842,no
45968,no
523884,no
6250,no
3991823,no
2212656,no
21207459,no
23387941,no
2797419,no
33637422,no
56006691,no
14702,no
3726984,no
2155909,no
206705,no
2627520,no
798332,no
186859,no
44950234,no
9590163,no
10038508,no
5728405,no
1006164,no
104944,no
456066,no
367280,no
1466438,no
5667,no
2497446,no
7729,no
1642576,no
18313,no
71421,no
54808,no
19196945,no
298705,no
5002871,no
12727,no
21474911,no
1981069,no
165890,no
1006330,no
9428,no
188432,no
461211,no
23591331,no
37042017,no
65524,no
10929788,no
3463805,no
3162905,no
81886,no
19447,no
77587,no
1045217,no
36419010,no
43794119,no
417493,no
40562,no
100638,no
7907317,no
72898,no
10934212,no
373047,no
20118104,no
31353,no
2804704,no
811714,no
75758,no
44767,no
48297704,no
40565,no
54253,no
3847111,no
20989,no
25513219,no
2796131,no
42200,no
6142330,no
6742,no
8304348,no
149536,no
4897306,no
88235,no
16150410,no
105167,no
148979,no
822307,no
21197,no
32587,no
15758205,no
25452,no
8980330,no
152066,no
231623,no
31552,no
33941427,no
854294,no
1339436,no
7708467,no
2589751,no
40567,no
2835536,no
40313234,no
30058,no
26487,no
22228064,no
30403,no
116759,no
32185161,no
13831734,no
26368,no
40986946,no
18955999,no
20727696,no
70157,no
4272994,no
428432,no
4050068,no
851475,no
1017349,no
29174356,no
68322,no
2888022,no
10597,no
435024,no
23713433,no
622572,no
22468,no
4110803,no
33879727,no
147853,no
418646,no
2823993,no
41523,no
3229401,no
4482,no
1135593,no
915081,no
290007,no
37803934,no
1566175,no
30875868,no
1014707,no
682856,no
1521999,no
44408842,no
1376785,no
3020109,no
22771176,no
12583841,no
56023444,no
71932,no
3459338,no
3804776,no
52332604,no
775134,no
489321,no
8587412,no
21661375,no
198726,no
35700682,no
22048289,no
12315140,no
45178500,no
24836896,no
186193,no
308856,no
47952739,no
35622760,no
295598,no
7454967,no
319571,no
2940937,no
6384037,no
14449214,no
730831,no
1056165,no
125495,no
144386,no
2343027,no
11254,no
3045642,no
40484303,no
31703536,no
142323,no
4131678,no
3158870,no
37935620,no
6093697,no
4311910,no
24559964,no
1014906,no
3582734,no
23751905,no
21550326,no
2288117,no
27280889,no
304642,no
7174830,no
2023491,no
249509,no
414468,no
231089,no
1158886,no
4693368,no
93097,no
39645216,no
10789502,no
37710702,no
2523586,no
18982384,no
3670297,no
2008273,no
8841014,no
2241312,no
1429763,no
962893,no
632322,no
7003520,no
10842431,no
47256334,no
43863159,no
63349,no
5728194,no
38400,no
331582,no
14158261,no
40629144,no
48675263,no
5073888,no
16945120,no
1256334,no
16035221,no
713549,no
6961430,no
3835759,no
92556,no
682848,no
2061705,no
4949370,no
1779727,no
74610,no
50689054,no
405875,no
10096572,no
125217,no
954888,no
35397147,no
99887,no
170592,no
300561,no
16653937,no
1557324,no
36777018,no
38230656,no
11876628,no
1874173,no
3982513,no
238431,no
12633123,no
30862857,no
22635212,no
10042412,no
1781700,no
99692,no
35034020,no
4094028,no
34702110,no
27881426,no
1611852,no
1109998,no
931802,no
1070503,no
166459,no
272833,no
1404329,no
40538,no
511735,no
33833363,no
8220,no
105949,no
38274305,no
7339773,no
16096064,no
1752376,no
17046226,no
1015585,no
67118,no
18952719,no
725441,no
427408,no
602466,no
2936492,no
27921792,no
3029,no
1161510,no
4535082,no
3130242,no
16307988,no
573279,no
1457749,no
924726,no
14033347,no
24809896,no
106364,no
105496,no
3584913,no
52369,no
50252,no
5715768,no
