pageid,class
7627929,yes
221749,yes
22424,yes
25382,yes
70157,yes
3829005,yes
25806,yes
43243,yes
11587,yes
63317,yes
1544191,yes
23564616,yes
526399,yes
32070,yes
347422,yes
5622894,yes
25867,yes
957537,yes
25473,yes
231156,yes
32296110,yes
250943,yes
8354382,yes
2110323,yes
444216,yes
240547,yes
21131695,yes
161466,yes
168601,yes
26152,yes
615807,yes
25433,yes
93791,yes
44205,yes
376985,yes
25938,yes
25427,yes
17446303,yes
242570,yes
23747676,yes
4057953,yes
45218,yes
29490,yes
206365,yes
27931,yes
51487,yes
40112,yes
249623,yes
23409759,yes
27122,yes
165404,yes
26915,yes
2941511,yes
338065,yes
27694,yes
27706,yes
144178,yes
763013,yes
349303,yes
27790,yes
1737582,yes
26833,yes
13118744,yes
1163228,yes
418732,yes
21171721,yes
34495117,yes
152447,yes
317383,yes
324091,yes
466454,yes
69795,yes
150374,yes
18842168,yes
168714,yes
286527,yes
5058690,yes
5058690,yes
59512,yes
10733176,yes
28632,yes
43116037,yes
1305554,yes
2957039,yes
7397019,yes
236331,yes
1316116,yes
19019270,yes
31635665,yes
28840,yes
5594647,yes
27159,yes
189909,yes
1130664,yes
384706,yes
26743,yes
28399,yes
26909,yes
28307,yes
25862547,yes
402030,yes
13436,yes
13371,yes
1438445,yes
14183,yes
13457,yes
4868935,yes
13919,yes
38873148,yes
2366752,yes
5043192,yes
18945847,yes
2632114,yes
18945847,yes
47646,yes
56120,yes
56120,yes
364326,yes
13808,yes
1560218,yes
210728,yes
23713759,yes
10396793,yes
1007688,yes
14229,yes
5097395,yes
5488304,yes
8322947,yes
113348,yes
48874,yes
14094,yes
10326,yes
47878,yes
2569378,yes
254637,yes
32544339,yes
35039706,yes
8798949,yes
381399,yes
2269463,yes
6502961,yes
638066,yes
70842,yes
288343,yes
13545731,yes
294934,yes
319302,yes
14912,yes
294545,yes
18935277,yes
19572217,yes
1166630,yes
15295,yes
152772,yes
23430752,yes
14539,yes
294813,yes
243433,yes
147575,yes
14726,yes
775859,yes
15226,yes
6037917,yes
162173,yes
9282173,yes
46216,yes
125320,yes
14532,yes
16044,yes
308131,yes
1103138,yes
64372,yes
39764,yes
16016,yes
23819805,yes
498971,yes
1840589,yes
16099,yes
15573,yes
46884,yes
15606,yes
162870,yes
49955,yes
189322,yes
16218,yes
6253522,yes
52547,yes
16175,yes
11494260,yes
175220,yes
16504,yes
21207345,yes
442163,yes
133250,yes
18603579,yes
46827,yes
1095706,yes
983366,yes
1131183,yes
25955086,yes
31516,yes
43356,yes
18582416,yes
83045,yes
31535,yes
30942,yes
31175,yes
31460,yes
3301347,yes
47702,yes
216188,yes
71973,yes
2723695,yes
19904525,yes
21694424,yes
21694424,yes
35152422,yes
157873,yes
348486,yes
14594,yes
29920,yes
31341,yes
1182836,yes
30018,yes
25168720,yes
31429,yes
9988187,yes
863,yes
52780,yes
31814,yes
32191,yes
31750,yes
31814,yes
31769,yes
3434750,yes
32009,yes
446555,yes
37293,yes
31902,yes
31880,yes
16118202,yes
337755,yes
243927,yes
1742315,yes
132472,yes
30972975,yes
333091,yes
305561,yes
928412,yes
32587,yes
32591,yes
11737832,yes
183050,yes
19220448,yes
32611,yes
47150,yes
93767,yes
239897,yes
11015252,yes
32817,yes
47896187,yes
33589,yes
32917,yes
34059,yes
1181646,yes
13425800,yes
4091662,yes
33622,yes
15380061,yes
52382,yes
33422,yes
231184,yes
265307,yes
16597487,yes
53976971,yes
33545,yes
376898,yes
21208262,yes
2495537,yes
166202,yes
33178,yes
54985,yes
154823,yes
30780454,yes
11577295,yes
32897,yes
860924,yes
2289648,yes
33683,yes
91221,yes
11185,yes
33183,yes
145439,yes
37483,yes
33523,yes
33278,yes
31582928,yes
67173,yes
4764461,yes
32927,yes
50106813,yes
1361082,yes
22760983,yes
3329753,yes
86364,yes
68110,yes
419038,yes
196206,yes
18130,yes
17628,yes
384676,yes
21009880,yes
23371382,yes
229257,yes
414890,yes
38776,yes
75890,yes
159846,yes
432709,yes
19037,yes
142056,yes
36753,yes
7907317,yes
170487,yes
38776,yes
21021,yes
20796,yes
19527,yes
46636,yes
978525,yes
89662,yes
19831,yes
87944,yes
728775,yes
1481886,yes
650426,yes
572897,yes
875547,yes
20548,yes
7567080,yes
20076,yes
409691,yes
25454239,yes
103695,yes
11415141,yes
96484,yes
20347,yes
21021,yes
18932,yes
1028044,yes
44219,yes
23943124,yes
361024,yes
163056,yes
20798,yes
49611,yes
19356,yes
18567040,yes
344287,yes
9530099,yes
220841,yes
21073732,yes
3966054,yes
68904,yes
14995351,yes
20455,yes
74461,yes
104998,yes
1801949,yes
9492386,yes
428979,yes
2064489,yes
986814,yes
348746,yes
3138569,yes
18836,yes
301237,yes
39027,yes
20979,yes
8135890,yes
5735,yes
312170,yes
20948,yes
20381,yes
289505,yes
19168,yes
426208,yes
46007,yes
2232012,yes
43254,yes
18925,yes
21023,yes
347105,yes
53029,yes
1304321,yes
63747,yes
51885,yes
347084,yes
493657,yes
20742,yes
8103,yes
8582,yes
187807,yes
76762,yes
67363,yes
1558354,yes
70197,yes
1434711,yes
37514,yes
8687,yes
310331,yes
9090,yes
3020357,yes
5058628,yes
8835,yes
18938226,yes
8271,yes
8683,yes
7966,yes
8900,yes
932915,yes
40147,yes
11040148,yes
3162905,yes
18978563,yes
18978563,yes
8629,yes
4848272,yes
726651,yes
1643647,yes
1635659,yes
7941,yes
1112855,yes
37335,yes
9311172,yes
8632,yes
19767582,yes
143840,yes
59749,yes
8305,yes
13058,yes
10186,yes
40817590,yes
140256,yes
380782,yes
303522,yes
2945164,yes
15578,yes
9231869,yes
39626432,yes
1864257,yes
1765384,yes
20611030,yes
16105186,yes
4217297,yes
371301,yes
18307757,yes
5052197,yes
9288,yes
4429395,yes
100627,yes
10287,yes
4809279,yes
169836,yes
35494376,yes
12322101,yes
2858505,yes
39768,yes
399615,yes
10501,yes
564204,yes
9258,yes
105004,yes
105004,yes
9737,yes
9317,yes
1256013,yes
9587,yes
51584,yes
10370,yes
9236,yes
9588,yes
7529378,yes
11469677,yes
7550182,yes
55174,yes
187586,yes
231085,yes
10653,yes
11054,yes
55974,yes
164394,yes
144896,yes
11408,yes
11185,yes
142721,yes
945404,yes
38193,yes
38301,yes
18949797,yes
148898,yes
24548445,yes
2752,yes
6821757,yes
37556,yes
162615,yes
2122,yes
15247542,yes
21785,yes
11778948,yes
5491859,yes
18933396,yes
1030,yes
25,yes
1195328,yes
5612336,yes
150056,yes
879858,yes
19344654,yes
4545,yes
4173,yes
867145,yes
19360669,yes
3979,yes
534366,yes
335069,yes
72336,yes
4375,yes
4792,yes
364813,yes
3738,yes
447382,yes
3205662,yes
501984,yes
3427,yes
699349,yes
19283178,yes
3722,yes
20650188,yes
41353912,yes
44431,yes
2100861,yes
4116,yes
1555010,yes
3356,yes
188564,yes
191941,yes
51614,yes
321263,yes
239098,yes
3803886,yes
244098,yes
44751865,yes
4874,yes
20648200,yes
851008,yes
