pageid,num_positive_words,num_negative_words,num_controversial_words
20184567,2,0,0
14526706,35,3,0
22351923,10,0,0
20228169,30,0,1
36121147,2,0,0
1064917,20,0,0
14255377,4,0,0
56543038,19,9,0
55135530,24,6,0
8571298,4,0,0
36700599,16,0,0
42720323,3,0,0
13698503,17,1,0
49655256,19,4,0
884044,5,0,0
1924418,12,5,0
32988926,4,0,0
3953738,68,0,0
41578796,10,0,0
4371925,17,0,0
4852233,39,3,0
18406401,23,0,0
1360222,38,3,0
3392292,18,2,0
25717487,6,2,0
774588,17,0,0
6459614,6,0,0
467803,34,1,0
44595957,4,0,0
44319369,29,3,0
4614422,4,0,0
53281811,3,0,0
16759271,9,0,0
46470319,21,0,0
18522414,5,0,0
44282786,9,0,0
15219666,10,0,0
15887917,4,0,0
49133251,32,1,1
51358865,7,1,0
34518150,14,0,0
2865660,37,4,0
6027422,23,0,0
24234930,2,0,0
24001332,7,0,0
9380457,8,0,0
40304660,17,0,0
41174687,15,4,0
10769845,10,0,0
6337740,46,1,0
7545924,29,4,0
48806304,2,0,0
40849708,14,0,0
30577785,38,0,0
2550711,40,1,0
46496429,3,0,0
42579750,6,0,0
7543675,12,1,0
23380995,0,0,0
8839080,16,0,0
13492165,2,0,0
52045918,4,0,0
5744906,6,0,0
19555532,15,0,0
6734490,2,0,0
26951433,6,0,0
14368996,5,0,0
48958475,4,0,0
13437247,6,0,0
36806948,6,0,0
43649260,7,0,0
13017065,2,0,0
18505633,26,8,0
54739124,11,1,0
8493516,17,2,0
11717251,17,0,0
18816116,2,0,0
23589837,11,0,2
3334427,10,1,0
160760,371,45,0
507399,414,63,0
92402,400,25,1
39912374,269,81,3
210710,229,65,1
33186,220,80,0
33589,273,50,4
2457206,493,0,0
89988,327,77,1
66964,329,40,0
870044,449,95,0
111582,403,74,3
4283766,289,88,1
150209,397,79,0
27630477,326,112,5
76972,325,38,4
97404,263,37,2
31737,290,76,13
594,413,64,0
25272709,294,51,4
15123,259,68,1
52233943,471,136,6
41831802,305,67,0
19872006,431,3,0
18154,1012,59,0
7116046,383,150,11
339841,305,61,1
8868062,526,53,1
619761,225,65,0
32905,287,42,5
412059,314,129,0
4349459,271,13,0
36808,606,78,0
36218417,441,144,0
49728,289,15,5
20405,266,56,0
16408009,581,6,0
65064,303,56,1
2615708,288,91,1
43337801,301,24,0
2194173,318,78,3
16578,322,96,4
33277,358,57,4
42004317,362,125,1
24102656,402,85,3
573822,200,59,1
15766,320,53,2
7739570,1094,2,0
26589,352,85,5
16949861,299,46,4
43449,310,56,0
55791,218,89,5
60192,323,34,4
15378788,302,52,1
49121,296,31,5
11003095,351,86,0
1327701,660,24,0
26061,273,22,0
15524,367,69,3
48768,271,30,0
10935907,282,49,3
158986,320,22,1
62654,354,150,0
15872,397,112,2
51320,317,25,0
32073,368,85,1
143377,299,147,3
29023680,297,64,2
2989409,1502,27,0
48722130,237,40,1
66592,278,66,0
606848,368,77,7
5405,315,24,5
11962112,351,20,0
30876071,785,37,0
20519569,1345,18,0
14941202,368,21,1
525160,366,59,10
66256,652,67,1
1660277,405,51,0
53107,278,22,1
35719627,262,96,6
25423,301,27,0
1178438,620,9,0
32927,220,77,4
1757165,306,142,1
62896,327,89,10
95214,286,75,1
25101,340,13,0
280738,365,77,0
4020775,266,69,0
42142305,291,103,1
26902061,261,128,3
44440022,263,58,0
31602166,358,87,70
33135,405,78,1
364285,114,3,0
25263739,319,47,3
102446,358,93,3
29266,429,132,0
85234,268,105,0
18081,413,26,2
8133,355,77,1
15051,333,93,6
